time_ns,n,algo,dist,comparisons,moves,reads,writes,allocs,notes
1159500,100,insertionsort,random,533,2363,634,2462,0,trial=1
236700,100,insertionsort,random,533,2393,633,2492,0,trial=2
185000,100,insertionsort,random,528,2688,629,2787,0,trial=3
4052900,1000,insertionsort,random,8596,249133,9598,250132,0,trial=1
1161600,1000,insertionsort,random,8587,249164,9587,250163,0,trial=2
990000,1000,insertionsort,random,8593,241221,9593,242220,0,trial=3
29792600,10000,insertionsort,random,118937,24912188,128937,24922187,0,trial=1
20656200,10000,insertionsort,random,118989,25257329,128989,25267328,0,trial=2
16867700,10000,insertionsort,random,118981,24966241,128982,24976240,0,trial=3
1549400000,100000,insertionsort,random,1522409,2496181161,1622411,2496281160,0,trial=1
1492798000,100000,insertionsort,random,1522850,2503187527,1622850,2503287526,0,trial=2
1471728000,100000,insertionsort,random,1522620,2494278195,1622621,2494378194,0,trial=3
700,100,insertionsort,sorted,99,0,198,0,0,trial=1
900,100,insertionsort,sorted,99,0,198,0,0,trial=2
1000,100,insertionsort,sorted,99,0,198,0,0,trial=3
900,1000,insertionsort,sorted,999,0,1998,0,0,trial=1
1000,1000,insertionsort,sorted,999,0,1998,0,0,trial=2
1000,1000,insertionsort,sorted,999,0,1998,0,0,trial=3
3600,10000,insertionsort,sorted,9999,0,19998,0,0,trial=1
3500,10000,insertionsort,sorted,9999,0,19998,0,0,trial=2
4400,10000,insertionsort,sorted,9999,0,19998,0,0,trial=3
30700,100000,insertionsort,sorted,99999,0,199998,0,0,trial=1
61800,100000,insertionsort,sorted,99999,0,199998,0,0,trial=2
33300,100000,insertionsort,sorted,99999,0,199998,0,0,trial=3
4900,100,insertionsort,reversed,481,4950,581,5049,0,trial=1
4800,100,insertionsort,reversed,481,4950,581,5049,0,trial=2
5100,100,insertionsort,reversed,481,4950,581,5049,0,trial=3
515100,1000,insertionsort,reversed,7988,499500,8988,500499,0,trial=1
445700,1000,insertionsort,reversed,7988,499500,8988,500499,0,trial=2
335300,1000,insertionsort,reversed,7988,499500,8988,500499,0,trial=3
30998700,10000,insertionsort,reversed,113632,49995000,123632,50004999,0,trial=1
31536100,10000,insertionsort,reversed,113632,49995000,123632,50004999,0,trial=2
36983100,10000,insertionsort,reversed,113632,49995000,123632,50004999,0,trial=3
3554547400,100000,insertionsort,reversed,1468947,4999950000,1568947,5000049999,0,trial=1
2992902100,100000,insertionsort,reversed,1468947,4999950000,1568947,5000049999,0,trial=2
2974868200,100000,insertionsort,reversed,1468947,4999950000,1568947,5000049999,0,trial=3
3300,100,insertionsort,nearly,546,628,652,727,0,trial=1
2300,100,insertionsort,nearly,533,490,634,589,0,trial=2
3000,100,insertionsort,nearly,553,762,663,861,0,trial=3
1099100,1000,insertionsort,nearly,8625,64033,9626,65032,0,trial=1
60600,1000,insertionsort,nearly,8591,58500,9596,59499,0,trial=2
64900,1000,insertionsort,nearly,8634,63422,9636,64421,0,trial=3
4248700,10000,insertionsort,nearly,119099,5904784,129103,5914783,0,trial=1
4688900,10000,insertionsort,nearly,119024,5996554,129025,6006553,0,trial=2
3944500,10000,insertionsort,nearly,119046,5856118,129047,5866117,0,trial=3
413121700,100000,insertionsort,nearly,1522771,579053418,1622772,579153417,0,trial=1
365607300,100000,insertionsort,nearly,1523280,571189754,1623280,571289753,0,trial=2
365246100,100000,insertionsort,nearly,1522260,585810530,1622260,585910529,0,trial=3
451700,100,insertionsort,random,533,2363,634,2462,0,trial=1
145000,100,insertionsort,random,533,2393,633,2492,0,trial=2
144400,100,insertionsort,random,528,2688,629,2787,0,trial=3
3793200,1000,insertionsort,random,8596,249133,9598,250132,0,trial=1
1137500,1000,insertionsort,random,8587,249164,9587,250163,0,trial=2
920300,1000,insertionsort,random,8593,241221,9593,242220,0,trial=3
16598200,10000,insertionsort,random,118937,24912188,128937,24922187,0,trial=1
18369100,10000,insertionsort,random,118989,25257329,128989,25267328,0,trial=2
21310400,10000,insertionsort,random,118981,24966241,128982,24976240,0,trial=3
1559427400,100000,insertionsort,random,1522409,2496181161,1622411,2496281160,0,trial=1
1536463400,100000,insertionsort,random,1522850,2503187527,1622850,2503287526,0,trial=2
1796099800,100000,insertionsort,random,1522620,2494278195,1622621,2494378194,0,trial=3
900,100,insertionsort,sorted,99,0,198,0,0,trial=1
700,100,insertionsort,sorted,99,0,198,0,0,trial=2
1000,100,insertionsort,sorted,99,0,198,0,0,trial=3
1000,1000,insertionsort,sorted,999,0,1998,0,0,trial=1
1200,1000,insertionsort,sorted,999,0,1998,0,0,trial=2
1000,1000,insertionsort,sorted,999,0,1998,0,0,trial=3
9600,10000,insertionsort,sorted,9999,0,19998,0,0,trial=1
3300,10000,insertionsort,sorted,9999,0,19998,0,0,trial=2
5300,10000,insertionsort,sorted,9999,0,19998,0,0,trial=3
47500,100000,insertionsort,sorted,99999,0,199998,0,0,trial=1
26800,100000,insertionsort,sorted,99999,0,199998,0,0,trial=2
50200,100000,insertionsort,sorted,99999,0,199998,0,0,trial=3
5400,100,insertionsort,reversed,481,4950,581,5049,0,trial=1
4900,100,insertionsort,reversed,481,4950,581,5049,0,trial=2
5200,100,insertionsort,reversed,481,4950,581,5049,0,trial=3
354400,1000,insertionsort,reversed,7988,499500,8988,500499,0,trial=1
328200,1000,insertionsort,reversed,7988,499500,8988,500499,0,trial=2
368900,1000,insertionsort,reversed,7988,499500,8988,500499,0,trial=3
29453600,10000,insertionsort,reversed,113632,49995000,123632,50004999,0,trial=1
30393900,10000,insertionsort,reversed,113632,49995000,123632,50004999,0,trial=2
30027500,10000,insertionsort,reversed,113632,49995000,123632,50004999,0,trial=3
3064490300,100000,insertionsort,reversed,1468947,4999950000,1568947,5000049999,0,trial=1
